ISBN,TITLE,ANALYZE,$ USED,$ NEW,$ AMAZON,$ TRADE-IN,# USED,# NEW,RANK,AVG. RANK,PUB DATE
394532589,The Book of Jewish Food: An Odyssey from…,,15.55,38.42,50,No Value,41,9,"84,431","69,725",1996
1612785093,Daily Roman Missal,,62.08,63.61,69.71,No Value,20,18,"54,568","69,832",2011
069101650X,"Complete Works of Aristotle, Vol. 1",,47.97,59.64,60,No Value,20,22,"72,970","70,119",1984
323498302,Small Animal Medical Differential Diagno…,,49.21,40.87,59.57,No Value,8,32,"80,118","70,215",2017
803639317,Occupational Therapy Examination Review …,,33.99,47.53,65.56,No Value,21,19,"70,859","70,216",2015
1946774103,The Three Magical Books of Solomon: The …,,30.67,32.31,32.31,No Value,8,16,"68,572","70,252",2017
674007077,The Inner Citadel: The Meditations of Ma…,,28.99,25.4,35,No Value,22,29,"96,217","70,308",2001
62507621,Sacred Path Cards: The Discovery of Self…,,13.14,30.63,37.5,No Value,43,12,"46,362","70,328",1990
803668392,Pocket Guide to the Operating Room,,62.31,43.99,65.56,No Value,10,15,"66,909","70,412",2019
1138821519,Ain't I a Woman: Black Women and Feminis…,,36.24,31.96,31.96,No Value,7,16,"70,247","70,418",2014
1405159286,Philosophical Investigations,,32.19,39.43,39.43,No Value,16,14,"64,496","70,486",2009
1496369653,Moore's Essential Clinical Anatomy,,44.91,48.64,77.15,No Value,21,20,"41,886","70,540",2019
195367138,The Oxford Companion to Beer (Oxford Com…,,23.46,40.44,42.57,No Value,55,37,"87,590","70,641",2011
1433558327,"ESV Illuminated Bible, Art Journaling Ed…",,38.99,43.99,43.99,No Value,10,33,"58,352","70,670",2017
323549381,Maternal Child Nursing Care,,63.79,105.45,132.49,No Value,65,34,"38,985","70,764",2017
985811749,"Foundations of Game Engine Development, …",,32.99,38.31,38.31,No Value,6,3,"67,489","70,794",2016
1133129161,Ethics and Issues in Contemporary Nursin…,,23.97,121.98,121.98,No Value,36,2,"111,510","70,836",2013
1421409844,The Lupus Encyclopedia: A Comprehensive …,,23.57,23.74,34.95,No Value,17,25,"77,974","70,871",2014
803659423,"Davis Advantage Basic Nursing: Thinking,…",,98.4,164.02,164.02,No Value,52,19,"63,867","70,897",2017
1935213644,Psychiatric-Mental Health Nursing Review…,,70.78,81.9,104,No Value,26,13,"59,069","70,962",2015
1975116372,Psychiatric-Mental Health Nursing,,65.48,73.99,79.53,No Value,10,11,"76,402","70,968",2019
185149829X,The Wristwatch Handbook: A Comprehensive…,,53.6,56.43,56.44,No Value,13,23,"87,133","70,973",2016
111898384X,Linux Command Line and Shell Scripting B…,,28.41,33.87,33.87,No Value,24,20,"43,278","70,989",2015
1557002282,The Secret Doctrine: The Synthesis of Sc…,,28.93,36,36,No Value,16,2,"68,747","71,148",2014
1673777880,Crack the Core Exam - Volume 2 (Crack Cr…,,54.94,60.16,60.18,No Value,5,4,"76,706","71,194",2019
1590306317,The Gnostic Bible: Revised and Expanded …,,22.87,34.07,34.23,No Value,26,22,"69,655","71,269",2009
1119013976,Residential Interior Design: A Guide To …,,55.54,59.43,59.47,No Value,12,22,"50,255","71,274",2016
323640591,Current Surgical Therapy,,160.5,171.51,193.99,No Value,8,30,"50,664","71,278",2019
1626259496,Learning ACT: An Acceptance and Commitme…,,38.49,38.59,41.75,No Value,9,18,"100,578","71,321",2017
1621572684,The Heritage Guide to the Constitution: …,,27.63,34.19,34.19,No Value,22,25,"64,369","71,346",2014
1259837246,"Lange Pharmacology Flashcards, Fourth Ed…",,36.66,36.67,36.67,No Value,11,24,"44,638","71,428",2017
1414329717,Willmington's Guide to the Bible,,25.81,35.49,35.49,No Value,25,25,"52,576","71,455",2011
393912728,Policy Paradox: The Art of Political Dec…,,29,51.27,59.43,No Value,67,24,"125,554","71,539",2011
1401242383,The Planetary Omnibus,,44.02,50.99,50.99,No Value,6,16,"56,079","71,581",2014
992176905,"Mirror Bible (784 page, Eighth Edition 7…",,33.99,45.49,45.49,No Value,23,14,"92,213","71,697",2018
71756221,Market Mind Games: A Radical Psychology …,,24.41,24.66,32,No Value,14,12,"53,907","71,745",2012
1613770073,Teenage Mutant Ninja Turtles: The Ultima…,,27.22,29.95,49.99,No Value,10,12,"40,061","71,757",2012
147505607,"The Iliad, The Odyssey, and The Aeneid B…",,24.07,37.83,37.83,No Value,30,21,"58,721","71,922",2009
1681252260,Multisensory Teaching of Basic Language …,,66.57,70.07,70.07,No Value,23,13,"100,133","71,957",2018
714875368,Bread Is Gold,,25.98,29.57,32.17,No Value,14,31,"56,197","71,967",2017
199654441,Linear Algebra: Step by Step,,45.03,45.82,47.56,No Value,15,30,"65,619","71,975",2013
1506710735,Black Hammer Library Edition Volume 1,,30.99,33.85,33.85,No Value,14,22,"58,922","72,095",2018
1628251964,The Standard for Program Management,,36.98,36.99,36.99,No Value,12,25,"103,573","72,170",2017
1600106676,Transformers: The IDW Collection Volume …,,54.42,47.35,59.99,No Value,10,7,"77,193","72,171",2010
1534422153,Marguerite Henry's Misty Inn Treasury Bo…,,33.94,31.87,31.87,No Value,1,2,"62,428","72,182",2018
190641541,On Being a Therapist,,25.94,25.91,31.95,No Value,11,27,"91,696","72,211",2017
1496377125,Fischbach's A Manual of Laboratory and D…,,37.8,43.61,69.83,No Value,14,19,"102,306","72,302",2017
806320400,Evidence Explained: History Sources from…,,55.93,59.95,59.95,No Value,7,2,"87,760","72,386",2017
032344525X,Fundamentals of Musculoskeletal Ultrasou…,,68.63,74.51,90.78,No Value,10,32,"80,276","72,428",2017
1537334220,"Borderline, Narcissistic, and Schizoid A…",,77.11,39.19,39.19,No Value,2,8,"102,516","72,455",2016
1423127447,The Art and Flair of Mary Blair (Updated…,,33.39,33.18,45,No Value,13,13,"79,410","72,460",2014
887276385,Integrated Chinese: Simplified Character…,,19.93,48.24,55.12,No Value,92,12,"119,803","72,475",2008
3777431923,Agnes Pelton: Desert Transcendentalist,,58.93,50,50,No Value,6,9,"79,492","72,476",2019
1449344046,Make: More Electronics: Journey Deep Int…,,22.77,29.91,34.99,No Value,14,18,"102,010","72,481",2014
984686363,Improvise for Real: The Complete Method …,,39.57,41.65,41.65,No Value,9,8,"81,644","72,496",2013
847845060,India Hicks: Island Style,,32.2,38.92,38.93,No Value,19,27,"63,598","72,552",2015
898709369,The Ignatius Bible: Revised Standard Ver…,,17.84,31.58,32.23,No Value,33,16,"55,662","72,628",2005
